00:24.530  render           | Executing sequencer
00:24.530  render           | Rendering frame 61
00:24.530  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:24.531  render           | Engine: EEVEE
00:24.601  render           | Fra: 61 | Rendering 1 / 16 samples
00:24.631  render           | Fra: 61 | Rendering 16 / 16 samples
00:24.949  render           | Video append frame 61
00:24.950  render           | Time: 00:00.41 (Saving: 00:00.01)
00:24.950  render           | Rendering frame 62
00:24.950  render           | Executing sequencer
00:24.950  render           | Rendering frame 62
00:24.950  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:24.950  render           | Engine: EEVEE
00:25.014  render           | Fra: 62 | Rendering 1 / 16 samples
00:25.041  render           | Fra: 62 | Rendering 16 / 16 samples
00:25.299  render           | Video append frame 62
00:25.299  render           | Time: 00:00.34 (Saving: 00:00.01)
00:25.300  render           | Rendering frame 63
00:25.300  render           | Executing sequencer
00:25.300  render           | Rendering frame 63
00:25.300  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:25.300  render           | Engine: EEVEE
00:25.367  render           | Fra: 63 | Rendering 1 / 16 samples
00:25.411  render           | Fra: 63 | Rendering 16 / 16 samples
00:25.845  render           | Video append frame 63
00:25.846  render           | Time: 00:00.54 (Saving: 00:00.04)
00:25.847  render           | Rendering frame 64
00:25.847  render           | Executing sequencer
00:25.847  render           | Rendering frame 64
00:25.848  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:25.852  render           | Engine: EEVEE
00:25.961  render           | Fra: 64 | Rendering 1 / 16 samples
00:25.990  render           | Fra: 64 | Rendering 16 / 16 samples
00:26.443  render           | Video append frame 64
00:26.443  render           | Time: 00:00.59 (Saving: 00:00.02)
